size,greedy,recursive,genetic,hill climbing,hill climbing with random skips,simulated annealing,greedy + hill climbing,random
64,0.003567239151006,0.0984346108432971,0.614660638178119,0.567415364121197,0.567166513487399,0.570255507010642,0.000878875427468847,0.879802829484329
128,0.0018057430371747,0.0474111950962392,0.438722214971224,0.0526932739906296,0.0516623849439195,0.0788818403615926,0.00013074484663846,0.865179328848697
256,0.000662481205672365,0.0204737741570901,0.192041667214491,0.0143338130661787,0.0146996542961252,0.0225789208035389,0.000280522300337763,0.920303355501173
512,0.000493286979488489,0.0141445010440486,0.113929341429408,0.00154271447509998,0.00733939814289513,0.00704112849595266,0.000225237461246863,0.951687697275974
1024,0,0.00438894152177305,0.181885069269838,0.00501577934855806,0.0282217298348225,0.0286717299902145,0,0.975469078929759
