size,greedy,recursive,genetic,hill climbing,hill climbing with random skips,simulated annealing,greedy + hill climbing,random
64,0.00694663692512297,0.320984471437071,0.81168885239404,0.779743710525772,0.782163426317981,0.792546529108499,0.00331576454609293,0.899417227879781
128,0.00841833993169102,0.202337216329757,0.396948600456382,0.130698646451528,0.129010780565436,0.181992689510263,0.00102143104981543,0.693417521067319
256,0.00695369632503204,0.118509833173658,0.225857556990723,0.0667146407645607,0.0680119920676035,0.0780381185694405,0.00246551461128295,0.758819899173278
512,0.0118597018513872,0.0784792597459576,0.162431302897209,0.028076141824278,0.0459454891646462,0.0489652030758535,0.00320926376536634,0.813555767871915
1024,0.00417577249432596,0.0252885683991092,0.218355730217414,0.0244979660045099,0.0778148326979622,0.0786820336468338,0.000207279964035437,0.866162771297822
