size,greedy,recursive,genetic,hill climbing,hill climbing with random skips,simulated annealing,greedy + hill climbing,random
64,0.00276984790035443,0.0921219400774808,0.618112752743488,0.572883999142047,0.573732321817234,0.575549277592913,0.000715286757685053,0.87960390296311
128,0.00138908561537482,0.0469891863209151,0.440865001684319,0.0615434618358778,0.0588712710510743,0.0920017798946082,0.000121282710535981,0.867045535160641
256,0.000632360445078402,0.0216305177920319,0.195777416997423,0.0148221777140405,0.0149155853192007,0.0218486931165566,0.000180885771433215,0.919928459846416
512,0.000544196656690973,0.00747420035311797,0.113910862354904,0.00154076613235095,0.00702451385178226,0.00711159993764979,0.000116465120653352,0.952035132169918
1024,0.000939376366830541,0.00271813999198852,0.175056481413398,0.00414642420633926,0.02522312917725,0.0257595217441084,0,0.975482374586494
