size,greedy,recursive,genetic,hill climbing,hill climbing with random skips,simulated annealing,greedy + hill climbing,random
64,0,0.027,0,0.01,0.011,0.004,0.026,0
128,0,0.013,0,0.001,0.003,0,0.088,0
256,0,0.024,0,0.012,0.008,0.002,0.05,0
512,0,0.01,0,0.08,0,0,0.05,0
1024,0,0,0,0,0,0,0,0
