size,greedy,recursive,genetic,hill climbing,hill climbing with random skips,simulated annealing,greedy + hill climbing,random
64,0.901,0.045,0,0.072,0.071,0.04,0.943,0
128,0.895,0.022,0,0.001,0.003,0,0.983,0
256,0.904,0.024,0,0.014,0.008,0.002,0.954,0
512,0.86,0.01,0,0.08,0,0,0.91,0
1024,1,0,0,0,0,0,1,0
