size,greedy,recursive,genetic,hill climbing,hill climbing with random skips,simulated annealing,greedy + hill climbing,random
64,0,0.001,0.002,0.035,0.035,0.011,0.09,0
128,0,0.001,0,0.016,0.017,0.003,0.563,0
256,0,0.002,0,0.056,0.048,0.024,0.566,0
512,0,0,0,0.13,0.02,0.04,0.8,0
1024,0,0.1,0,0,0,0,0.7,0
