size,greedy,recursive,genetic,hill climbing,hill climbing with random skips,simulated annealing,greedy + hill climbing,random
64,0.00651483039405532,0.319340720737073,0.804239250258292,0.768957218247889,0.774960003099812,0.784614814285144,0.00343928004410512,0.894900033591678
128,0.00703350041881965,0.206689732133223,0.399305717965903,0.140800029777305,0.138976050875534,0.19131366517988,0.000791287155614613,0.693551920931707
256,0.00667749126943565,0.121295473337186,0.232002819364662,0.0703212088960353,0.0699312031856956,0.0826666431113972,0.00216652398104869,0.759063197562226
512,0.0154966624409592,0.0743611452313501,0.158775460895862,0.0218297476289632,0.0486727638772652,0.0472159178929039,0.00770144236599222,0.811871618725569
1024,0.00620690165822904,0.0416041950501354,0.233327906299981,0.0400081138050353,0.0869599289701808,0.0933258279131407,0,0.869334464410239
