size,greedy,recursive,genetic,hill climbing,hill climbing with random skips,simulated annealing,greedy + hill climbing,random
64,0.831,0.003,0.001,0.038,0.034,0.011,0.913,0
128,0.455,0.003,0,0.013,0.017,0.001,0.966,0
256,0.294,0.006,0,0.04,0.056,0.016,0.882,0
512,0.02,0.02,0,0.28,0.03,0.06,0.61,0
1024,0,0,0,0,0,0,1,0
